id,host_since,host_response_time,host_response_rate,host_is_superhost,host_listings_count,host_identity_verified,neighbourhood_cleansed,neighbourhood_group_cleansed,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,first_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,host_days_active,air_conditioning,bbq,balcony,bed_linen,tv,coffee_machine,cooking_basics,white_goods,elevator,gym,child_friendly,parking,outdoor_space,internet,long_term_stays,private_entrance,time_since_first_review,time_since_last_review
260613,2011-11-09,within an hour,100%,1.0,2.0,1.0,Whittier Heights,Ballard,Other,Entire home/apt,2,1.0,1.0,1.0,100,3,1125,330,77,2012-03-02,95-100/100,10/10,10/10,10/10,10/10,10/10,10/10,1,3431.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,4+ years,2-8 weeks
271509,2010-01-27,within an hour,90-99%,1.0,17.0,1.0,Belltown,Downtown,Apartment,Entire home/apt,6,1.0,2.0,2.0,266,2,365,122,111,2012-09-04,80-94/100,10/10,9/10,10/10,10/10,10/10,9/10,1,4082.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,4+ years,2-8 weeks
277416,2013-08-18,within a few hours,90-99%,0.0,4.0,1.0,Belltown,Downtown,Apartment,Entire home/apt,4,1.0,1.0,2.0,159,2,365,303,135,2011-12-12,95-100/100,10/10,10/10,10/10,10/10,10/10,10/10,0,2783.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,4+ years,2-6 months
278830,2011-11-29,within a few hours,100%,1.0,2.0,1.0,West Queen Anne,Queen Anne,House,Entire home/apt,6,2.0,3.0,3.0,439,2,7,88,75,2012-07-10,80-94/100,10/10,10/10,10/10,10/10,9/10,9/10,0,3411.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,4+ years,1+ year
282934,2011-07-05,within an hour,100%,1.0,1.0,1.0,Fremont,Other neighborhoods,Other,Entire home/apt,2,1.0,1.0,1.0,140,4,21,2,104,2013-03-12,95-100/100,10/10,10/10,10/10,10/10,10/10,10/10,0,3558.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4+ years,2-8 weeks
284087,2011-06-20,within an hour,90-99%,1.0,3.0,1.0,First Hill,Downtown,Apartment,Entire home/apt,6,1.0,2.0,3.0,114,3,1125,320,221,2012-02-28,95-100/100,10/10,10/10,10/10,10/10,10/10,10/10,1,3573.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,4+ years,2-8 weeks
299817,2011-12-28,within an hour,100%,0.0,2.0,1.0,Stevens,Capitol Hill,House,Entire home/apt,3,1.5,2.0,3.0,125,30,1125,333,10,2013-07-14,80-94/100,9/10,0-8/10,10/10,10/10,10/10,9/10,0,3382.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,4+ years,1+ year
301059,2010-01-27,within an hour,90-99%,1.0,17.0,1.0,Belltown,Downtown,Apartment,Entire home/apt,4,1.0,1.0,2.0,139,30,1125,0,71,2012-03-17,95-100/100,10/10,10/10,10/10,10/10,10/10,9/10,0,4082.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,4+ years,2-6 months
303277,2011-09-24,within a few hours,100%,1.0,3.0,1.0,Eastlake,Cascade,Apartment,Entire home/apt,2,1.0,2.0,2.0,95,30,1125,230,12,2012-01-16,95-100/100,10/10,10/10,10/10,10/10,10/10,10/10,0,3477.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,4+ years,2-8 weeks
338091,2012-02-07,within an hour,100%,1.0,3.0,1.0,Broadway,Capitol Hill,Apartment,Entire home/apt,4,1.0,1.0,1.0,165,30,365,365,120,2012-04-16,80-94/100,10/10,9/10,10/10,10/10,10/10,9/10,0,3341.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,4+ years,1+ year
353110,2012-02-21,within a few hours,100%,1.0,1.0,1.0,North Admiral,West Seattle,House,Entire home/apt,5,1.0,1.0,1.0,82,30,1125,168,75,2012-04-03,80-94/100,10/10,10/10,10/10,10/10,10/10,10/10,1,3327.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,4+ years,2-8 weeks
353347,2011-07-07,within an hour,100%,1.0,2.0,1.0,Arbor Heights,West Seattle,House,Entire home/apt,6,1.0,2.0,3.0,108,7,30,327,41,2012-03-17,95-100/100,10/10,9/10,10/10,10/10,9/10,9/10,0,3556.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,4+ years,2-6 months
356248,2010-12-01,within an hour,100%,1.0,4.0,1.0,Portage Bay,Capitol Hill,Apartment,Entire home/apt,2,1.0,2.0,2.0,179,30,365,29,25,2016-09-23,95-100/100,10/10,10/10,10/10,10/10,10/10,9/10,0,3774.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,4+ years,1+ year
356608,2012-02-21,within a day,90-99%,1.0,8.0,1.0,First Hill,Downtown,Apartment,Entire home/apt,6,2.0,2.0,2.0,179,3,1125,129,139,2012-06-05,95-100/100,10/10,10/10,10/10,10/10,10/10,10/10,0,3327.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,4+ years,2-8 weeks
368403,2012-11-18,within a day,50-89%,0.0,1.0,1.0,Green Lake,Other neighborhoods,House,Entire home/apt,16,3.0,6.0,6.0,350,4,45,304,38,2013-10-06,95-100/100,10/10,10/10,10/10,10/10,10/10,9/10,0,3056.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,4+ years,2-6 months
370361,2012-03-05,unknown,unknown,1.0,2.0,1.0,Phinney Ridge,Other neighborhoods,Other,Private room,2,1.0,1.0,1.0,85,3,30,7,226,2012-04-02,95-100/100,10/10,10/10,10/10,10/10,10/10,10/10,0,3314.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,4+ years,1+ year
387078,2011-09-07,within a few hours,100%,0.0,7.0,1.0,Broadway,Capitol Hill,Apartment,Entire home/apt,4,1.0,1.0,1.0,119,2,365,329,167,2012-12-23,95-100/100,10/10,10/10,10/10,10/10,10/10,9/10,0,3494.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,4+ years,2-6 months
392140,2012-08-20,within a day,100%,1.0,1.0,1.0,North Beacon Hill,Beacon Hill,Other,Private room,2,1.0,1.0,1.0,80,3,7,363,263,2012-05-06,95-100/100,10/10,10/10,10/10,10/10,10/10,10/10,0,3146.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4+ years,6-12 months
392779,2011-03-12,within a day,100%,1.0,1.0,0.0,North Beacon Hill,Beacon Hill,House,Entire home/apt,4,1.0,2.0,2.0,155,30,1125,130,150,2012-06-07,95-100/100,10/10,10/10,10/10,10/10,9/10,9/10,0,3673.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,4+ years,2-6 months
430610,2010-07-13,within a few hours,100%,1.0,8.0,1.0,Wallingford,Other neighborhoods,House,Entire home/apt,8,3.0,3.0,4.0,296,5,1124,95,106,2012-08-14,95-100/100,10/10,10/10,10/10,10/10,10/10,10/10,0,3915.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,4+ years,2-6 months
461234,2012-03-06,within a few hours,100%,1.0,1.0,1.0,Whittier Heights,Ballard,Apartment,Entire home/apt,2,1.0,1.0,1.0,99,3,1125,341,295,2012-06-10,95-100/100,10/10,10/10,10/10,10/10,10/10,10/10,0,3313.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,4+ years,2-8 weeks
461567,2012-05-04,within an hour,100%,0.0,1.0,1.0,Crown Hill,Other neighborhoods,Other,Private room,3,1.0,1.0,2.0,80,30,30,179,293,2012-07-29,80-94/100,10/10,10/10,10/10,10/10,10/10,10/10,1,3254.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,4+ years,2-6 months
475361,2012-05-10,within an hour,100%,0.0,1.0,1.0,Cedar Park,Lake City,House,Entire home/apt,2,1.0,1.0,1.0,77,30,180,179,116,2012-06-29,95-100/100,10/10,10/10,10/10,10/10,9/10,10/10,0,3248.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,4+ years,1+ year
490110,2012-05-18,unknown,unknown,0.0,1.0,1.0,Pike-Market,Downtown,Apartment,Entire home/apt,2,1.0,1.0,1.0,275,30,1125,323,44,2012-07-17,95-100/100,10/10,10/10,10/10,10/10,10/10,9/10,0,3240.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,4+ years,1+ year
491958,2012-05-21,within a few hours,100%,1.0,1.0,0.0,Columbia City,Rainier Valley,Apartment,Entire home/apt,4,1.0,1.0,1.0,79,2,30,245,354,2012-07-09,95-100/100,10/10,10/10,10/10,10/10,10/10,10/10,0,3237.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,4+ years,1+ year
