,Neighbourhood,Neighbourhood Latitude,Neighbourhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
433,International District,47.5980714409322,-122.32185595286052,Szechuan Noodle Bowl,47.59851922711214,-122.32255945985528,Chinese Restaurant
435,International District,47.5980714409322,-122.32185595286052,Tamarind Tree,47.59982899733872,-122.317890664451,Vietnamese Restaurant
440,International District,47.5980714409322,-122.32185595286052,Shabu Chic,47.5996335306155,-122.31879049162298,Japanese Restaurant
442,International District,47.5980714409322,-122.32185595286052,Chengdu Memory,47.599264,-122.326785,Chinese Restaurant
443,International District,47.5980714409322,-122.32185595286052,Tsukushinbo,47.59996315315612,-122.32687778842212,Japanese Restaurant
444,International District,47.5980714409322,-122.32185595286052,Hood Famous Cafe + Bar,47.59800673680192,-122.32776719034057,Café
446,International District,47.5980714409322,-122.32185595286052,Mike's Noodle House,47.598653999593566,-122.32488870620728,Chinese Restaurant
449,International District,47.5980714409322,-122.32185595286052,Vietnam House,47.59977372229291,-122.3178258509099,Vietnamese Restaurant
450,International District,47.5980714409322,-122.32185595286052,Maneki,47.5996748528453,-122.32636588867386,Sushi Restaurant
451,International District,47.5980714409322,-122.32185595286052,Saigon Deli,47.59908354262406,-122.31536995647215,Vietnamese Restaurant
452,Central Business District,47.60818627266193,-122.33487694417126,The Capital Grille,47.60811479979853,-122.33507741481772,American Restaurant
457,Central Business District,47.60818627266193,-122.33487694417126,Purple Café & Wine Bar,47.60808617171844,-122.33495508012145,Wine Bar
458,Central Business District,47.60818627266193,-122.33487694417126,Georgian Room,47.60810471111521,-122.33400367228325,New American Restaurant
461,Central Business District,47.60818627266193,-122.33487694417126,Veggie Grill,47.6098817,-122.3366367,Vegetarian / Vegan Restaurant
473,Central Business District,47.60818627266193,-122.33487694417126,Japonessa,47.6079701999744,-122.33876120593776,Sushi Restaurant
480,Central Business District,47.60818627266193,-122.33487694417126,Pasta Casalinga,47.60849654421251,-122.34002813613172,Italian Restaurant
484,First Hill,47.60990952903656,-122.32395085534796,Pho Saigon Asian Cuisine,47.609219334918166,-122.3256596399003,Asian Restaurant
489,First Hill,47.60990952903656,-122.32395085534796,Sushi Kanpai,47.60744771413414,-122.32804463671567,Sushi Restaurant
492,First Hill,47.60990952903656,-122.32395085534796,Primo,47.60892189569463,-122.32937014438778,Italian Restaurant
493,First Hill,47.60990952903656,-122.32395085534796,Yoshino Teriyaki,47.60913310544385,-122.32596169369836,Asian Restaurant
496,First Hill,47.60990952903656,-122.32395085534796,Life On Mars,47.614155,-122.322329,Cocktail Bar
498,First Hill,47.60990952903656,-122.32395085534796,Soi,47.61296476015443,-122.31928659634713,Thai Restaurant
501,First Hill,47.60990952903656,-122.32395085534796,Dunbar Room at Hotel Sorrento,47.60895600310357,-122.32673531911811,Restaurant
508,First Hill,47.60990952903656,-122.32395085534796,Quarter Lounge,47.60853914252794,-122.32695068368928,Bar
509,First Hill,47.60990952903656,-122.32395085534796,Cedars in Capitol Hill,47.6063236,-122.3204399,Indian Restaurant
511,Yesler Terrace,47.60318065338865,-122.3210375145991,Jucivana Coffee,47.60152566685775,-122.31713351526552,Juice Bar
512,Yesler Terrace,47.60318065338865,-122.3210375145991,Lan Huê,47.59919596087398,-122.32022778202315,Vietnamese Restaurant
513,Yesler Terrace,47.60318065338865,-122.3210375145991,Tamarind Tree,47.59982899733872,-122.317890664451,Vietnamese Restaurant
516,Yesler Terrace,47.60318065338865,-122.3210375145991,Shabu Chic,47.5996335306155,-122.31879049162298,Japanese Restaurant
517,Yesler Terrace,47.60318065338865,-122.3210375145991,Vietnam House,47.59977372229291,-122.3178258509099,Vietnamese Restaurant
519,Yesler Terrace,47.60318065338865,-122.3210375145991,Sichuanese Cuisine,47.599445449722246,-122.31755528969278,Chinese Restaurant
521,Yesler Terrace,47.60318065338865,-122.3210375145991,Bonchon Korean Fried Chicken,47.60710681355059,-122.32060516211064,Korean Restaurant
522,Yesler Terrace,47.60318065338865,-122.3210375145991,Cedars in Capitol Hill,47.6063236,-122.3204399,Indian Restaurant
523,Yesler Terrace,47.60318065338865,-122.3210375145991,Zobel Ethiopian Restaurant,47.605996000000005,-122.31598,Ethiopian Restaurant
525,Pioneer Square,47.59778432785827,-122.33405940633332,Il Terrazzo Carmine,47.59882839638095,-122.33469539437856,Italian Restaurant
526,Pioneer Square,47.59778432785827,-122.33405940633332,Salumi,47.59905221960695,-122.3328224560986,Italian Restaurant
528,Pioneer Square,47.59778432785827,-122.33405940633332,Taylor Shellfish Oyster Bar,47.59873691346935,-122.33274587273796,Seafood Restaurant
534,Pioneer Square,47.59778432785827,-122.33405940633332,The Little London Plane,47.59929012014212,-122.33278667766864,Wine Bar
536,Pioneer Square,47.59778432785827,-122.33405940633332,Pioneer Square D&E,47.599468,-122.331497,New American Restaurant
539,Pioneer Square,47.59778432785827,-122.33405940633332,Good Bar,47.60011606018805,-122.3315971380008,Cocktail Bar
544,Pioneer Square,47.59778432785827,-122.33405940633332,Damn the Weather,47.601004162802,-122.334119031303,Cocktail Bar
546,Pioneer Square,47.59778432785827,-122.33405940633332,King Street Bar & Oven,47.598325796960346,-122.33216349163612,Pub
547,Pioneer Square,47.59778432785827,-122.33405940633332,Altstadt,47.60048,-122.334399,German Restaurant
548,Pioneer Square,47.59778432785827,-122.33405940633332,Hood Famous Cafe + Bar,47.59800673680192,-122.32776719034057,Café
549,Pioneer Square,47.59778432785827,-122.33405940633332,Smith Tower Observation Bar,47.602012114767625,-122.33179258432052,Cocktail Bar
551,Pioneer Square,47.59778432785827,-122.33405940633332,The London Plane,47.60004034945503,-122.3328034077415,Café
553,Pioneer Square,47.59778432785827,-122.33405940633332,Dough Zone Dumpling House,47.59793086989331,-122.32762427885967,Dumpling Restaurant
558,Interbay,47.64172700266643,-122.38106741548016,Time 4 Pho,47.64540100680548,-122.38246941849324,Vietnamese Restaurant
564,Interbay,47.64172700266643,-122.38106741548016,Americano diner,47.644921,-122.382676,Café
567,Interbay,47.64172700266643,-122.38106741548016,Corner Store,47.64517045837808,-122.38299840587864,Grocery Store
569,Interbay,47.64172700266643,-122.38106741548016,Josefina's Mexican Grill,47.6452891908722,-122.38264330432024,Mexican Restaurant
570,Interbay,47.64172700266643,-122.38106741548016,New China Express,47.645269,-122.383116,Asian Restaurant
589,North Admiral,47.5791257046394,-122.38706632576296,Circa Grill and Ale House,47.581030301082826,-122.38662124034882,American Restaurant
