,Neighbourhood,Neighbourhood Latitude,Neighbourhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
100,University District,47.65972838933905,-122.30833161801833,Shawarma King,47.66092348228639,-122.31319861700942,Mediterranean Restaurant
101,University District,47.65972838933905,-122.30833161801833,Pho Shizzle,47.659345641209,-122.3134034872055,Vietnamese Restaurant
102,University District,47.65972838933905,-122.30833161801833,Sizzle&Crunch,47.658331064824885,-122.313561130449,Vietnamese Restaurant
103,University District,47.65972838933905,-122.30833161801833,Ugly Mug Cafe,47.659866485193724,-122.31367437660943,Café
104,University District,47.65972838933905,-122.30833161801833,UW: Henry Art Gallery,47.65642450284154,-122.3117057905699,Museum
105,University District,47.65972838933905,-122.30833161801833,U.S. Bank ATM,47.6605240592642,-122.31312314806158,ATM
106,University District,47.65972838933905,-122.30833161801833,Aladdin Gyro-Cery,47.65799034562859,-122.3133720522155,Middle Eastern Restaurant
107,University District,47.65972838933905,-122.30833161801833,Taste of Xi'an,47.661957072723055,-122.31333743786143,Chinese Restaurant
108,University District,47.65972838933905,-122.30833161801833,Meany Hall Theater,47.65561220570296,-122.31058681003934,College Theater
109,University District,47.65972838933905,-122.30833161801833,Saigon Deli,47.65820490304947,-122.31433510276901,Vietnamese Restaurant
110,University District,47.65972838933905,-122.30833161801833,H-Mart,47.65895769658186,-122.31319932286324,Grocery Store
111,University District,47.65972838933905,-122.30833161801833,Oasis Tea Zone,47.66204909935353,-122.3129367828369,Bubble Tea Shop
112,University District,47.65972838933905,-122.30833161801833,MOD Pizza,47.65851336,-122.31241073,Pizza Place
113,University District,47.65972838933905,-122.30833161801833,CVS pharmacy,47.6602637040805,-122.3132407703513,Pharmacy
114,University District,47.65972838933905,-122.30833161801833,Pita Pit,47.66181945800781,-122.31352996826172,Sandwich Place
115,University District,47.65972838933905,-122.30833161801833,Burger & Kabob Hut,47.658157330811456,-122.3133019208848,Burger Joint
116,University District,47.65972838933905,-122.30833161801833,Wells Fargo,47.65697537095408,-122.31286838650703,Bank
